timestamp,gesture_action,Latency,CPU Utilization
2026-05-16T13:55:24.648+08:00,Cursor movement,0.000071,15.8750
2026-05-16T13:55:27.673+08:00,Left-click,0.000058,12.3603
2026-05-16T13:55:28.336+08:00,Cursor movement,0.000062,15.1111
2026-05-16T13:55:29.082+08:00,Right-click,0.000056,6.6667
2026-05-16T13:55:29.815+08:00,Cursor movement,0.000074,14.4772
2026-05-16T13:55:31.404+08:00,Left-click,0.000055,9.3447
2026-05-16T13:55:32.018+08:00,Cursor movement,0.000063,6.8293
2026-05-16T13:55:33.183+08:00,Double click,0.000074,10.0756
2026-05-16T13:55:33.887+08:00,Cursor movement,0.000074,16.7813
2026-05-16T13:55:38.524+08:00,Pinch gestures,0.000061,9.7899
2026-05-16T13:56:00.491+08:00,Zoom gestures,0.000114,16.4157
2026-05-16T13:56:03.424+08:00,Right-click,0.000125,11.6712
2026-05-16T13:56:04.495+08:00,Cursor movement,0.000064,13.1341
2026-05-16T13:56:05.356+08:00,Left-click,0.000073,13.1579
2026-05-16T13:56:06.226+08:00,Drag and drop,0.000053,12.8348
2026-05-16T13:56:10.295+08:00,Pinch gestures,0.000059,15.4231
2026-05-16T13:57:14.634+08:00,Cursor movement,0.000070,11.3804
2026-05-16T13:57:36.655+08:00,Drag and drop,0.000103,13.4543
2026-05-16T13:57:43.170+08:00,Pinch gestures,0.000060,13.0007
2026-05-16T13:57:51.783+08:00,Drag and drop,0.000060,11.7480
2026-05-16T13:58:01.558+08:00,Pinch gestures,0.000108,14.9288
2026-05-16T13:58:03.821+08:00,Drag and drop,0.000056,10.2630
2026-05-16T13:58:12.105+08:00,Cursor movement,0.000066,11.7309
2026-05-16T13:59:09.921+08:00,Right-click,0.000056,13.5223
2026-05-16T13:59:13.981+08:00,Cursor movement,0.000082,13.0832
2026-05-16T13:59:14.760+08:00,Left-click,0.000069,7.7500
2026-05-16T13:59:16.981+08:00,Right-click,0.000062,8.9592
2026-05-16T14:00:06.736+08:00,Pinch gestures,0.000067,12.8709
2026-05-16T14:01:09.118+08:00,Drag and drop,0.000055,13.2463
2026-05-16T14:02:12.958+08:00,Double click,0.000068,14.6953
2026-05-16T14:04:12.935+08:00,Zoom gestures,0.000119,16.0881
2026-05-16T14:04:19.582+08:00,Right-click,0.000129,25.2816
2026-05-16T16:26:22.256+08:00,Cursor movement,0.000071,29.5066
2026-05-16T16:26:27.975+08:00,Left-click,0.000058,32.8841
2026-05-16T16:26:28.871+08:00,Cursor movement,0.000102,38.6022
2026-05-16T16:26:30.462+08:00,Right-click,0.000047,28.0097
2026-05-16T16:26:31.129+08:00,Cursor movement,0.000068,14.0508
2026-05-16T16:26:32.476+08:00,Double click,0.000091,28.0347
2026-05-16T16:26:33.926+08:00,Zoom gestures,0.000128,27.2244
2026-05-16T16:26:35.908+08:00,Right-click,0.000073,36.3946
2026-05-16T16:41:00.603+08:00,Cursor movement,0.000056,39.3601
2026-05-16T16:41:05.232+08:00,Left-click,0.000040,28.9033
2026-05-16T16:41:05.839+08:00,Cursor movement,0.000066,30.5057
2026-05-16T16:41:23.820+08:00,Double click,0.000093,30.5514
2026-05-16T16:41:24.370+08:00,Cursor movement,0.000066,22.5000
2026-05-16T16:41:36.982+08:00,Double click,0.000055,30.3012
2026-05-16T16:41:38.787+08:00,Drag and drop,0.000068,24.4035
2026-05-16T16:41:43.045+08:00,Cursor movement,0.000082,32.3736
2026-05-16T16:41:50.791+08:00,Double click,0.000086,28.5553
2026-05-16T16:41:51.565+08:00,Cursor movement,0.000043,46.9697
2026-05-16T16:41:57.427+08:00,Pinch gestures,0.000043,30.0447
2026-05-16T16:42:09.328+08:00,Cursor movement,0.000044,31.2104
2026-05-16T16:42:14.574+08:00,Pinch gestures,0.000073,28.0185
2026-05-16T16:42:14.621+08:00,Cursor movement,0.000063,25.0000
2026-05-16T16:42:14.907+08:00,Pinch gestures,0.000078,31.7241
2026-05-16T16:42:15.475+08:00,Cursor movement,0.000053,42.4610
2026-05-16T16:42:18.824+08:00,Left-click,0.000081,27.0153
2026-05-16T16:42:19.748+08:00,Pinch gestures,0.000149,39.6226
2026-05-16T16:42:19.810+08:00,Left-click,0.000071,16.6667
2026-05-16T16:42:19.863+08:00,Pinch gestures,0.000082,14.5833
2026-05-16T16:42:19.909+08:00,Left-click,0.000046,12.0000
2026-05-16T16:42:20.106+08:00,Cursor movement,0.000064,24.0642
2026-05-16T16:42:31.198+08:00,Left-click,0.000040,28.6738
2026-05-16T16:42:31.565+08:00,Cursor movement,0.000072,24.5232
2026-05-16T16:42:39.020+08:00,Pinch gestures,0.000060,28.9025
2026-05-16T16:42:39.419+08:00,Cursor movement,0.000064,16.9576
2026-05-16T16:42:42.118+08:00,Double click,0.000074,29.6683
2026-05-16T16:42:42.734+08:00,Cursor movement,0.000080,33.8073
2026-05-16T16:42:43.229+08:00,Double click,0.000048,43.1683
2026-05-16T16:42:43.750+08:00,Cursor movement,0.000044,22.6488
2026-05-16T16:42:44.459+08:00,Left-click,0.000068,43.1232
2026-05-16T16:42:45.064+08:00,Cursor movement,0.000067,23.5974
2026-05-16T16:42:47.643+08:00,Left-click,0.000047,34.5767
2026-05-16T16:42:49.178+08:00,Cursor movement,0.000077,28.1789
2026-05-16T16:42:50.749+08:00,Pinch gestures,0.000060,29.3900
2026-05-16T16:42:50.796+08:00,Cursor movement,0.000063,20.8333
2026-05-16T16:42:51.160+08:00,Pinch gestures,0.000065,21.2707
2026-05-16T16:45:51.096+08:00,Cursor movement,0.000071,35.5746
2026-05-16T16:45:54.100+08:00,Left-click,0.000058,35.5943
2026-05-16T16:45:54.934+08:00,Cursor movement,0.000045,48.3436
2026-05-16T16:45:59.048+08:00,Left-click,0.000079,32.5000
2026-05-16T16:45:59.682+08:00,Cursor movement,0.000053,51.2158
2026-05-16T16:46:40.192+08:00,Left-click,0.000063,31.5757
2026-05-16T16:46:40.923+08:00,Cursor movement,0.000095,45.7604
2026-05-16T16:46:54.435+08:00,Double click,0.000050,32.0014
2026-05-16T16:46:54.859+08:00,Cursor movement,0.000071,23.9535
2026-05-16T16:47:04.278+08:00,Left-click,0.000074,30.1079
2026-05-16T16:47:06.152+08:00,Cursor movement,0.000054,28.2597
2026-05-16T16:47:07.671+08:00,Left-click,0.000042,35.3129
2026-05-16T16:47:09.463+08:00,Cursor movement,0.000077,27.6965
2026-05-17T21:39:39.090+08:00,Cursor movement,0.000071,19.5603
2026-05-17T21:39:51.275+08:00,Left-click,0.000056,13.5286
2026-05-17T21:39:52.031+08:00,Cursor movement,0.000080,34.2820
2026-05-17T21:40:05.456+08:00,Double click,0.000072,11.1885
2026-05-17T21:40:06.079+08:00,Cursor movement,0.000066,12.7389
2026-05-17T21:40:12.030+08:00,Pinch gestures,0.000066,9.2844
2026-05-17T21:40:17.056+08:00,Cursor movement,0.000065,10.9252
2026-05-17T21:40:23.129+08:00,Left-click,0.000057,12.2318
2026-05-17T21:40:23.947+08:00,Cursor movement,0.000076,8.8700
2026-05-17T21:40:24.373+08:00,Left-click,0.000059,9.4907
2026-05-17T21:40:25.224+08:00,Cursor movement,0.000074,10.7551
2026-05-17T21:40:27.528+08:00,Pinch gestures,0.000108,11.5336
2026-05-17T21:40:47.537+08:00,Cursor movement,0.000072,9.0409
2026-05-17T21:40:52.922+08:00,Left-click,0.000057,10.8786
2026-05-17T21:40:53.642+08:00,Cursor movement,0.000072,9.6154
2026-05-17T21:40:54.075+08:00,Left-click,0.000057,6.1503
2026-05-17T21:40:55.765+08:00,Cursor movement,0.000073,7.7146
2026-05-17T21:40:57.136+08:00,Zoom gestures,0.000119,10.8357
2026-05-17T21:41:04.292+08:00,Right-click,0.000109,14.8350
2026-05-17T21:41:04.541+08:00,Drag and drop,0.000102,12.6482
2026-05-17T21:41:05.206+08:00,Zoom gestures,0.000110,8.7149
2026-05-17T21:41:11.222+08:00,Right-click,0.000103,9.0188
2026-05-17T21:41:17.158+08:00,Zoom gestures,0.000119,5.9200
2026-05-17T21:41:19.679+08:00,Right-click,0.000111,13.0368
2026-05-17T21:41:24.078+08:00,Zoom gestures,0.000109,6.4145
2026-05-17T21:41:27.221+08:00,Right-click,0.000110,10.6178
2026-05-17T21:41:27.503+08:00,Cursor movement,0.000122,4.5139
2026-05-18T13:53:36.453+08:00,Cursor movement,0.000064,13.2863
2026-05-18T13:53:40.945+08:00,Drag and drop,0.000058,15.0568
2026-05-18T13:53:47.050+08:00,Cursor movement,0.000066,17.7185
2026-05-18T13:53:49.821+08:00,Left-click,0.000057,19.9720
2026-05-18T13:53:50.748+08:00,Cursor movement,0.000064,18.2590
2026-05-18T13:53:51.501+08:00,Right-click,0.000070,15.3946
2026-05-18T13:53:52.353+08:00,Cursor movement,0.000070,13.5690
2026-05-18T13:53:54.380+08:00,Zoom gestures,0.000114,13.4357
2026-05-18T13:53:55.172+08:00,Right-click,0.000127,13.6139
2026-05-18T13:58:50.658+08:00,Cursor movement,0.000071,15.3477
2026-05-18T13:58:57.911+08:00,Left-click,0.000039,14.4656
2026-05-18T13:58:58.457+08:00,Cursor movement,0.000065,24.5520
2026-05-18T13:59:04.280+08:00,Left-click,0.000076,12.6101
2026-05-18T13:59:04.846+08:00,Cursor movement,0.000063,15.5979
2026-05-18T13:59:05.796+08:00,Left-click,0.000046,15.7328
2026-05-18T13:59:06.500+08:00,Cursor movement,0.000044,13.0316
2026-05-18T13:59:07.513+08:00,Double click,0.000077,13.8298
2026-05-18T13:59:07.993+08:00,Cursor movement,0.000075,12.5749
2026-05-18T13:59:08.702+08:00,Left-click,0.000061,10.1671
2026-05-18T13:59:09.440+08:00,Cursor movement,0.000071,11.1989
2026-05-18T13:59:10.830+08:00,Double click,0.000080,11.8265
2026-05-18T13:59:11.275+08:00,Cursor movement,0.000069,20.4396
2026-05-18T13:59:13.300+08:00,Left-click,0.000063,13.8942
2026-05-18T13:59:13.976+08:00,Cursor movement,0.000082,10.1744
2026-05-18T13:59:14.790+08:00,Drag and drop,0.000077,8.3732
2026-05-18T14:29:47.974+08:00,Drag and drop,0.000068,19.5266
2026-05-18T14:35:53.809+08:00,Cursor movement,0.000054,41.0707
2026-05-18T14:38:10.240+08:00,Cursor movement,0.000086,26.2940
2026-05-18T14:38:13.520+08:00,Right-click,0.000070,49.3215
2026-05-18T14:38:14.979+08:00,Cursor movement,0.000065,27.0020
2026-05-18T14:38:15.737+08:00,Left-click,0.000091,60.6557
2026-05-18T14:40:47.316+08:00,Cursor movement,0.000076,60.5234
2026-05-18T14:40:51.860+08:00,Pinch gestures,0.000087,50.2971
2026-05-18T14:51:48.673+08:00,Cursor movement,0.000072,28.6484
