timestamp_utc,user_language,model,transcript_original,transcript_english,latency_s,audio_path,notes
2026-05-14T07:41:59Z,en,Google SR,good morning can you explain the meaning of life,good morning can you explain the meaning of life,0.6391,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T07:43:35Z,en,Google SR,good afternoon what is 2 * 2,good afternoon what is 2 * 2,0.9278,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T07:45:28Z,en,Google SR,what is computer science,what is computer science,0.6477,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T07:49:08Z,zh,Google SR,"Hello, can you tell me what the computer field is?","Hello, can you tell me what the computer field is?",3.0462,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T07:53:50Z,en,Google SR,hi could you tell me what is the difference between computer science and data science,hi could you tell me what is the difference between computer science and data science,1.3892,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T07:59:18Z,en,Google SR,hi May I know what is the meaning of text,hi May I know what is the meaning of text,0.7348,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:08:35Z,en,Google SR,can you tell me who is Stephen Curry,can you tell me who is Stephen Curry,0.5923,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:10:20Z,en,Google SR,can you tell me what is LeBron James famous for,can you tell me what is LeBron James famous for,0.6780,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:15:52Z,en,Google SR,can you tell me what is the meaning of data scientist,can you tell me what is the meaning of data scientist,0.7141,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:20:23Z,en,Google SR,open YouTube,open YouTube,0.4930,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:20:36Z,en,Google SR,,,0.4660,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,empty_transcript
2026-05-14T08:20:41Z,en,Google SR,search Justin Bieber daisies,search Justin Bieber daisies,0.7005,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:20:53Z,en,Google SR,,,0.3353,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,empty_transcript
2026-05-14T08:20:58Z,en,Google SR,,,1.6412,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,empty_transcript
2026-05-14T08:21:05Z,en,Google SR,,,0.2125,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,empty_transcript
2026-05-14T08:21:10Z,en,Google SR,,,0.3959,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,empty_transcript
2026-05-14T08:21:16Z,en,Google SR,,,0.3425,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,empty_transcript
2026-05-14T08:21:22Z,en,Google SR,pause video,pause video,0.4986,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:21:29Z,en,Google SR,play video,play video,0.5267,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:21:37Z,en,Google SR,stop automation,stop automation,0.3920,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:22:07Z,en,Google SR,can you explain to me what is the result of 2 + 2,can you explain to me what is the result of 2 + 2,0.6382,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:53:15Z,en,Google SR,good morning what is 2 * 2 = 2,good morning what is 2 * 2 = 2,0.7668,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:53:48Z,en,Google SR,good morning what is the meaning of life,good morning what is the meaning of life,8.8635,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:54:40Z,en,Google SR,hi there could you help me to take a screenshot,hi there could you help me to take a screenshot,0.8654,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:55:15Z,en,Google SR,take screenshot,take screenshot,0.6649,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:56:32Z,zh,Google SR,"Hello, can you tell me what is the Internet?","Hello, can you tell me what is the Internet?",1.9949,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:57:18Z,zh,Google SR,Hello please help me open the oil pipe,Hello please help me open the oil pipe,7.8653,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:57:40Z,zh,Google SR,Search Jay Chou Daoxiang,Search Jay Chou Daoxiang,3.9728,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:57:56Z,zh,Google SR,play first,play first,1.3307,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:58:09Z,zh,Google SR,,,0.1439,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,empty_transcript
2026-05-14T08:58:14Z,zh,Google SR,Pause playback,Pause playback,1.8116,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:58:24Z,zh,Google SR,continue playing,continue playing,10.1749,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:58:43Z,zh,Google SR,Stop automation,Stop automation,2.2728,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:59:03Z,en,Google SR,hi there please open WhatsApp,hi there please open WhatsApp,0.6890,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:59:15Z,en,Google SR,select third chat,select third chat,0.4597,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:59:24Z,en,Google SR,,,0.3611,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,empty_transcript
2026-05-14T08:59:29Z,en,Google SR,,,0.3595,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,empty_transcript
2026-05-14T08:59:35Z,en,Google SR,send message,send message,0.3962,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:59:42Z,en,Google SR,select third chat,select third chat,0.4548,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:59:51Z,en,Google SR,type ok thank you,type ok thank you,0.4710,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T08:59:59Z,en,Google SR,send message,send message,0.3586,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T09:00:07Z,en,Google SR,search user PG,search user PG,0.4608,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T09:00:16Z,en,Google SR,select first chat,select first chat,0.5055,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T09:00:25Z,en,Google SR,clear search,clear search,0.4366,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T09:00:35Z,en,Google SR,select third chat,select third chat,0.6404,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T09:00:44Z,en,Google SR,stop automation,stop automation,0.3769,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T09:01:04Z,en,Google SR,I am very sad could you cheer me up,I am very sad could you cheer me up,1.3037,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
2026-05-14T13:19:18Z,zh,Google SR,Can you tell me what computer technology is?,Can you tell me what computer technology is?,2.4338,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\ASR\audio\session_input.wav,
