id,language,message,latency,results
1,en,what is computer science,0.006897,FALSE
2,en,open YouTube,4.026085,TRUE
3,en,search Justin Bieber daisies,3.557205,TRUE
4,en,pause video,0.091267,TRUE
5,en,play video,0.000989,TRUE
6,en,stop automation,0.173155,TRUE
7,en,take screenshot,0.143495,TRUE
8,zh,你好请帮我打开油管,3.710649,TRUE
9,zh,search 周杰伦稻香,3.581772,TRUE
10,zh,play first,1.646013,TRUE
11,zh,pause video,0.027980,TRUE
12,zh,play video,0.001114,TRUE
13,zh,stop automation,0.088775,TRUE
14,en,hi there please open WhatsApp,2.282342,TRUE
15,en,select third chat,0.562783,TRUE
16,en,send message,0.356407,TRUE
17,en,select third chat,0.556916,TRUE
18,en,type ok thank you,0.610224,TRUE
19,en,send message,0.352728,TRUE
20,en,search user PG,1.169904,TRUE
21,en,select first chat,0.562606,TRUE
22,en,clear search,1.292065,TRUE
23,en,select third chat,0.558178,TRUE
24,en,stop automation,0.000065,TRUE
25,zh,我想知道计算机科系在未来20年还吃香吗,0.005051,FALSE
26,zh,你能告诉我计算机科系在未来20年还能吃香吗,0.006527,FALSE
27,zh,请打开聊天应用,2.293984,TRUE
28,zh,请打开聊天应用,2.220651,TRUE
29,zh,select first chat,0.564126,TRUE
30,zh,type 正在来着,0.772059,TRUE
31,zh,send,0.353605,TRUE
32,zh,选,0.000056,FALSE
33,zh,select second chat,0.558315,TRUE
34,zh,type 好的,0.500179,TRUE
35,zh,clear message,0.457553,TRUE
36,zh,stop automation,0.000065,TRUE
37,en,please open WhatsApp,2.226880,TRUE
38,en,search chat,0.001749,TRUE
39,en,select third check,0.000068,FALSE
40,en,stop automation,0.000057,TRUE
41,zh,请帮我打开油管,0.838410,FALSE
42,zh,请帮我打开油管,4.312651,TRUE
43,zh,search 周杰伦,3.546017,TRUE
44,zh,play first,1.655343,TRUE
45,zh,pause video,0.072295,TRUE
46,zh,stop automation,0.109905,TRUE
47,en,please open WhatsApp,2.579265,TRUE
48,en,Select second chat,0.560798,TRUE
49,en,pipe ok no problem,0.000070,FALSE
50,en,pipe ok no problem,0.000047,FALSE
51,en,could you type no problem,0.562445,TRUE
52,en,remove message,0.454448,TRUE
53,en,search user y r n,1.263228,TRUE
54,en,clear search,1.259712,TRUE
55,en,select third chat,0.558042,TRUE
56,en,search user y r n,1.265991,TRUE
57,en,search user y r n,1.267967,TRUE
58,en,search user ABC,1.212675,TRUE
59,en,select first chat,0.566201,TRUE
60,en,clear search,1.266199,TRUE
61,en,stop operation,0.000070,TRUE
62,en,good morning please open WhatsApp,2.342306,TRUE
63,en,select first chat,0.579091,TRUE
64,en,please type oh my god,0.579784,TRUE
65,en,search user y a n,1.338961,TRUE
66,en,clear search,1.285813,TRUE
67,en,select first chat,0.594831,TRUE
68,en,send,0.431891,TRUE
69,en,search user PG,1.313249,TRUE
70,en,select first chat,0.554271,TRUE
71,en,stop automation,0.000068,TRUE
72,en,please open Google News,3.698132,TRUE
73,en,search for news in USA and China,1.032827,TRUE
74,en,search for news in Sabah,1.097209,TRUE
75,en,search for fighting news in Kuala Lumpur,0.787642,TRUE
76,en,stop automation,0.180283,TRUE
77,zh,请帮我打开油管,3.869225,TRUE
78,zh,search 林俊杰我怀念的,3.615769,TRUE
79,zh,play first,1.624783,TRUE
80,zh,pause video,0.055851,TRUE
81,zh,play video,0.002308,TRUE
82,zh,stop automation,0.059104,TRUE
83,en,please open WhatsApp,2.260680,TRUE
84,en,select first chat,0.559003,TRUE
