timestamp_utc,language,engine,text_preview,latency_s,output_path,status,note
2026-05-14T07:43:04Z,en,piper,"Good morning. The meaning of life is a complex and subjective concept that varies across cultures and individuals, but it often involves finding purpose, happiness, and fulfillment through personal gr",1.8249,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T07:44:37Z,en,piper,Good afternoon. The result of 2 multiplied by 2 is 4.,0.7768,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T07:46:27Z,en,piper,"I didn't match a system command. You can say: set a timer, take a screenshot, open YouTube, or search the web.",1.0531,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T07:50:15Z,zh,edge-tts,你好，我可以告诉你，计算机领域是指研究和开发计算机硬件、软件、网络等技术的领域。,2.3601,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_edge_zh.mp3,ok,played directly
2026-05-14T07:54:58Z,en,piper,"Computer science focuses on the design, development, and testing of computer systems and algorithms, while data science combines computer science with domain expertise to extract insights from data. D",1.7621,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:00:22Z,en,piper,You didn't specify the text. Please provide the text you'd like me to explain.,0.7357,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:09:37Z,en,piper,Stephen Curry is an American professional basketball player who plays as a point guard for the Golden State Warriors in the NBA. He is a two-time NBA champion and two-time NBA MVP.,1.1969,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:11:22Z,en,piper,"LeBron James is a professional basketball player, widely regarded as one of the greatest of all time. He's a four-time NBA champion and four-time NBA Most Valuable Player.",1.0277,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:16:58Z,en,piper,"A data scientist is a professional who collects, analyzes, and interprets complex data to gain insights and make informed decisions. They use statistical techniques, machine learning algorithms, and d",1.5758,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
2026-05-14T08:20:33Z,en,piper,Automation is running on YouTube.,0.7271,D:\Documents\FYP\Multimodal_Assistant\Voice_Architecture\TTS\audio\out_piper_en.wav,ok,
