id,user,timestamp,action,status,response_time,cpu_utilization,memory_usage
1,Lee,2026-05-16T16:26:41.652+08:00,Gesture Control: Zoom gestures,ok,7.69,20.0565,6.9934
2,Lee,2026-05-16T16:29:15.603+08:00,Voice Assistant: Open my downloads,ok,171.11,68.0522,3.4455
3,Lee,2026-05-16T16:34:41.076+08:00,Voice Assistant: What is today's date,ok,1169.91,12.7715,15.2202
4,Lee,2026-05-16T16:36:05.983+08:00,Voice Assistant: Good Morning How are you,ok,433.43,12.1155,4.9467
5,Lee,2026-05-16T16:36:30.032+08:00,Voice Assistant: Open Google News,ok,1033.92,68.9688,8.2578
6,Lee,2026-05-16T16:37:34.654+08:00,Voice Assistant: Open YouTube,ok,488.65,18.7113,14.0930
7,Lee,2026-05-16T16:42:55.157+08:00,Gesture Control: Pinch gestures,ok,11.31,4.6886,1.8742
8,Lee,2026-05-16T16:43:56.945+08:00,Voice Assistant: Tell me what is 1 + 4,ok,462.76,19.7549,15.2166
9,Lee,2026-05-16T16:45:43.445+08:00,Voice Assistant: Take screenshot,ok,1570.56,15.0814,10.1569
10,Lee,2026-05-16T16:47:17.298+08:00,Gesture Control: Drag and drop,ok,2.81,5.1465,1.6769
11,Lee,2026-05-16T16:48:10.135+08:00,Voice Assistant: Tell me what is computer science,ok,789.82,17.8794,8.2916
12,Lee,2026-05-17T21:41:36.629+08:00,Gesture Control: Double click,ok,0.59,14.6849,6.6244
13,Lee,2026-05-17T21:43:11.945+08:00,Voice Assistant: Tell me what is 1 / 4,ok,1278.70,13.9820,11.5621
14,Lee,2026-05-18T13:52:46.463+08:00,Voice Assistant: open youtube,ok,1190.94,16.2218,14.2228
15,Lee,2026-05-18T13:53:18.307+08:00,Voice Assistant: Voice command,ok,167.73,14.5681,11.2399
16,Lee,2026-05-18T13:53:58.211+08:00,Gesture Control: Cursor movement,ok,6.82,10.9536,8.4588
17,Lee,2026-05-18T13:57:33.456+08:00,Voice Assistant: take screenshot,ok,1464.23,27.5556,10.4666
18,Lee,2026-05-18T13:57:49.766+08:00,Voice Assistant: good morning please open WhatsApp,ok,3274.50,54.7423,7.7297
19,Lee,2026-05-18T13:59:17.645+08:00,Gesture Control: Cursor movement,ok,7.87,15.6894,4.2863
20,Lee,2026-05-18T14:21:14.061+08:00,Gesture Control: Session ended,ok,2.07,24.0359,8.1152
21,Lee,2026-05-18T14:21:45.341+08:00,Voice Assistant: Voice command,ok,3259.82,8.3546,3.7265
22,Lee,2026-05-18T14:29:54.468+08:00,Gesture Control: Drag and drop,ok,4.09,27.0955,4.3264
23,Lee,2026-05-18T14:32:34.396+08:00,Voice Assistant: Voice command,ok,1546.14,32.9451,12.7825
24,Lee,2026-05-18T14:32:49.312+08:00,Voice Assistant: Take screenshot,ok,399.14,51.6541,15.8300
25,Lee,2026-05-18T14:36:04.713+08:00,Gesture Control: Cursor movement,ok,2.81,9.4840,3.0567
26,Lee,2026-05-18T14:38:16.020+08:00,Gesture Control: Cursor movement,ok,1.19,11.3573,6.4341
27,Lee,2026-05-18T14:41:03.419+08:00,Gesture Control: Cursor movement,ok,4.78,23.0074,6.2466
28,Lee,2026-05-18T14:52:03.964+08:00,Gesture Control: Cursor movement,ok,8.84,18.8796,6.0352
29,Lee,2026-05-18T14:57:30.319+08:00,Gesture Control: Pinch gestures,ok,3.17,15.7490,3.2705
